date,year,title,simple_title,artist,main_artist,peak_pos,last_pos,weeks,rank,change,spotify_link,spotify_id,video_link,genre,broad_genre,analysis_url,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
6/21/18,NA,Perfect,,Ed Sheeran,,1,21,42,17,4,spotify:track:1bhUWB0zJMIKr9yVPrkEuI,1bhUWB0zJMIKr9yVPrkEuI,,[u'pop'],,https://api.spotify.com/v1/audio-analysis/1bhUWB0zJMIKr9yVPrkEuI,0.299,0.123,94.992,0.0263,0.779,0,3,0.587,8,259550,-7.365,0.356,1
6/21/18,NA,Plug Walk,,Rich The Kid,,13,35,18,33,2,spotify:track:1vnsGFNWNANWMg0CAeMkl2,1vnsGFNWNANWMg0CAeMkl2,,"[u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']",,https://api.spotify.com/v1/audio-analysis/1vnsGFNWNANWMg0CAeMkl2,0.587,0.118,94.978,0.262,0.15,0,4,0.923,11,276659,-6.401,0.27,1
6/21/18,NA,Powerglide,,Rae Sremmurd & Juicy J,,28,67,15,75,-8,spotify:track:13vSGK2w8K27Kv7dxRJrZH,13vSGK2w8K27Kv7dxRJrZH,,unknown,,https://api.spotify.com/v1/audio-analysis/13vSGK2w8K27Kv7dxRJrZH,0.63,0.138,174.046,0.0893,0.05,0.00031,4,0.704,11,333871,-10.521,0.476,0
6/21/18,NA,Praise The Lord (Da Shine),,A$AP Rocky Featuring Skepta,,45,70,3,70,0,,,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6/21/18,NA,Pray For Me,,The Weeknd & Kendrick Lamar,,7,44,19,44,0,spotify:track:77UjLW8j5UAGAGVGhR5oUK,77UjLW8j5UAGAGVGhR5oUK,,unknown,,https://api.spotify.com/v1/audio-analysis/77UjLW8j5UAGAGVGhR5oUK,0.677,0.111,100.584,0.093,0.0762,2.17E-05,4,0.735,2,211440,-4.979,0.188,1
6/21/18,NA,Psycho,,Post Malone Featuring Ty Dolla $ign,,1,1,16,2,-1,,,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6/21/18,NA,Reborn,,KIDS SEE GHOSTS,,39,0,1,39,Hot Shot Debut,spotify:track:4RVbK6cV0VqWdpCDcx3hiT,4RVbK6cV0VqWdpCDcx3hiT,,"[u'hip hop', u'pop', u'pop rap', u'rap']",,https://api.spotify.com/v1/audio-analysis/4RVbK6cV0VqWdpCDcx3hiT,0.597,0.195,100.051,0.037,0.339,0.0404,4,0.585,0,324674,-7.499,0.227,1
6/21/18,NA,Rich Sex,,Nicki Minaj Featuring Lil Wayne,,88,0,1,88,New,,,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6/21/18,NA,Rockstar,,Post Malone Featuring 21 Savage,,1,29,39,24,5,,,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6/21/18,NA,Sad!,,XXXTENTACION,,7,51,15,52,-1,spotify:track:3ee8Jmje8o58CHK66QrVC2,3ee8Jmje8o58CHK66QrVC2,,[],,https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2,0.613,0.123,75.023,0.145,0.258,0.00372,4,0.74,8,166606,-4.88,0.473,1
6/21/18,NA,Sativa,,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,,74,83,14,87,-4,,,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6/21/18,NA,Simple,,Florida Georgia Line,,55,55,2,57,-2,spotify:track:4P92FrvmYQSAfOpp4cpFEi,4P92FrvmYQSAfOpp4cpFEi,,"[u'contemporary country', u'country road', u'modern country rock']",,https://api.spotify.com/v1/audio-analysis/4P92FrvmYQSAfOpp4cpFEi,0.889,0.136,199.669,0.0991,0.0848,0,4,0.375,3,185200,-3.704,0.881,1
6/21/18,NA,Sin Pijama,,Becky G + Natti Natasha,,94,99,2,94,5,spotify:track:2ijef6ni2amuunRoKTlgww,2ijef6ni2amuunRoKTlgww,,unknown,,https://api.spotify.com/v1/audio-analysis/2ijef6ni2amuunRoKTlgww,0.745,0.104,94.014,0.0464,0.354,2.93E-05,4,0.791,11,188560,-3.695,0.82,0
